Vercel CLI 54.6.1 (Node.js 25.8.1)
Resolving deployment "onu-ai.vercel.app"
Fetching project "prj_wYC3smruf7kfsTBxaFrgkJXT9j0O"
Fetching logs...
TIME         HOST                                            LEVEL                               STATUS  MESSAGE        
18:03:31.27  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  error    λ POST /api/docs/state     500     Failed to upda…
18:03:30.19  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs                200     (no message)   
18:03:30.17  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs                200     (no message)   
18:03:30.17  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs                200     (no message)   
18:03:30.17  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs                200     (no message)   
18:03:29.57  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs                200     (no message)   
18:03:27.48  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  warning  λ GET /api/docs/state      200     Supabase query…
18:03:26.43  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /docs/admin          200     (no message)   
18:03:22.59  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:22.59  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:22.01  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:21.93  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:21.93  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:21.93  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:21.36  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:21.36  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:21.36  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:21.36  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:20.78  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:20.74  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:20.74  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:18.58  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /                    200     (no message)   
18:03:11.71  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.71  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.71  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.65  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.65  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.62  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.58  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.57  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.49  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.45  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.44  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.44  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.35  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.30  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.29  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.29  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.29  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.25  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.25  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /workspace           200     (no message)   
18:03:11.25  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.23  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /                    200     (no message)   
18:03:11.22  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
18:03:11.22  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.22  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.13  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /                    200     (no message)   
18:03:11.01  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /pricing             200     (no message)   
18:03:11.01  onu-2gyd5f0ie-raiyanaftabs-projects.vercel.app  info     ◇ GET /enterprise          200     (no message)   
Fetched 100 logs for raiyanaftabs-projects/onu-ai
